best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
,v1zs_llama8b,AUC-ROC(LLM-zs),ddibn,,,S1,0.500462,0.500993,0.500462,,,,1268.6
50,06,accuracy,ddibn,109137,42,S0,0.982594,0.990239,0.936387,0.984702,0.937745,0.937108,0.981898,0.983541,0.942984,0.984561,0.944634,0.943968,297.1
62,06,accuracy,ddibn,109137,42,S1,0.894224,0.971866,0.812274,0.892631,0.811249,0.808737,0.89646,0.964785,0.811835,0.8929,0.811817,0.811319,297.1
60,06,accuracy,ddibn,109137,42,S2,0.645331,0.517416,0.599164,0.682831,0.587036,0.616431,0.622143,0.513971,0.599157,0.641345,0.602944,0.614025,297.1
197,03,accuracy,ddibn,339416,124,S0,0.940464,0.946507,0.877116,0.937979,0.870402,0.874105,0.946871,0.941914,0.879342,0.945999,0.878246,0.879661,2635.9
199,03,accuracy,ddibn,339416,124,S1,0.816053,0.762871,0.756118,0.742363,0.756305,0.756705,0.836207,0.811005,0.776376,0.772719,0.774868,0.772524,2635.9
155,03,accuracy,ddibn,339416,124,S2,0.53705,0.517703,0.546457,0.511633,0.56048,0.633848,0.474437,0.511005,0.474648,0.472614,0.554607,0.651109,2635.9
7,07,accuracy,ddibn,216809,0,S0,0.977477,0.985263,0.926233,0.979678,0.92314,0.924053,0.976942,0.978373,0.93503,0.979352,0.936775,0.936797,93.9
7,07,accuracy,ddibn,216809,0,S1,0.888234,0.938565,0.812307,0.879467,0.812497,0.813057,0.891607,0.964689,0.813663,0.889129,0.813421,0.815252,93.9
7,07,accuracy,ddibn,216809,0,S2,0.625764,0.529282,0.603289,0.597657,0.628247,0.659507,0.547452,0.510526,0.52835,0.548014,0.541214,0.554955,93.9
59,06,accuracy,ddibn,109137,124,S0,0.985146,0.99378,0.939995,0.987144,0.941698,0.940861,0.981899,0.984019,0.943041,0.984526,0.945057,0.944494,298.8
62,06,accuracy,ddibn,109137,124,S1,0.888989,0.971483,0.804254,0.886988,0.802076,0.798404,0.892074,0.963158,0.810471,0.886172,0.810777,0.808748,298.8
41,06,accuracy,ddibn,109137,124,S2,0.647455,0.520096,0.604946,0.673541,0.608759,0.636821,0.605764,0.511866,0.588896,0.615015,0.594941,0.610714,298.8
,v1zs_llama8b,AUC-ROC(LLM-zs),ddibn,,,S2,0.496765,0.502633,0.496765,,,,181.6
22,07,accuracy,ddibn,216809,124,S0,0.980435,0.988517,0.929562,0.982578,0.932883,0.931385,0.979511,0.983923,0.933599,0.982614,0.936242,0.935051,176.5
24,07,accuracy,ddibn,216809,124,S1,0.89538,0.948804,0.812013,0.888486,0.809218,0.814471,0.899878,0.968612,0.82112,0.895136,0.822005,0.825333,176.5
4,07,accuracy,ddibn,216809,124,S2,0.598421,0.524019,0.575009,0.575664,0.572768,0.661376,0.521815,0.51311,0.521551,0.513348,0.572281,0.665914,176.5
32,07,accuracy,ddibn,216809,42,S0,0.981457,0.991005,0.930965,0.983708,0.932768,0.9324,0.980314,0.983541,0.93704,0.983269,0.939671,0.939043,220.2
10,07,accuracy,ddibn,216809,42,S1,0.874197,0.916077,0.797453,0.860067,0.796968,0.802851,0.881558,0.935694,0.81007,0.870104,0.815839,0.820062,220.2
18,07,accuracy,ddibn,216809,42,S2,0.513903,0.513684,0.50434,0.516083,0.503297,0.033121,0.389016,0.483923,0.418171,0.465981,0.515676,0.094232,220.2
29,08,accuracy,ddibn,98897,0,S0,0.984864,0.991962,0.943742,0.986708,0.948469,0.947481,0.982646,0.986507,0.940199,0.985217,0.940845,0.940298,168.6
1,08,accuracy,ddibn,98897,0,S1,0.848204,0.904976,0.771639,0.833817,0.705556,0.623271,0.856264,0.923828,0.78695,0.842112,0.701526,0.61655,168.6
1,08,accuracy,ddibn,98897,0,S2,0.417463,0.493876,0.429209,0.458893,0.5,0.0,0.460854,0.494545,0.473844,0.497472,0.5,0.0,168.6
26,08,accuracy,ddibn,98897,124,S0,0.984836,0.991866,0.942685,0.98676,0.945049,0.943769,0.98304,0.986986,0.940532,0.985593,0.94248,0.94152,151.3
1,08,accuracy,ddibn,98897,124,S1,0.836249,0.877512,0.763662,0.812819,0.622507,0.424558,0.845001,0.891579,0.78061,0.821842,0.616997,0.406318,151.3
1,08,accuracy,ddibn,98897,124,S2,0.421569,0.496172,0.441938,0.455111,0.5,0.0,0.423657,0.491292,0.45054,0.460484,0.5,0.0,151.3
42,08,accuracy,ddibn,98897,42,S0,0.986208,0.99311,0.945454,0.987906,0.947585,0.946527,0.983695,0.987273,0.941692,0.986204,0.943137,0.942275,222.3
1,08,accuracy,ddibn,98897,42,S1,0.844576,0.896172,0.769592,0.82374,0.657463,0.514061,0.852072,0.905072,0.785164,0.831808,0.653079,0.501411,222.3
1,08,accuracy,ddibn,98897,42,S2,0.391325,0.490144,0.427419,0.438025,0.5,0.0,0.442331,0.491579,0.469325,0.478472,0.5,0.0,222.3
,v1zs_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S0,0.502338,0.502756,0.502338,,,,872.6
,v1zs_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S1,0.50088,0.501193,0.50088,,,,2359.6
,v1zs_qwen14b,AUC-ROC(LLM-zs),ddibn,,,S2,0.50069,0.504345,0.50069,,,,327.0
